Player,Year,Google Search Trend
Kevin Garnett,2000,1040
Shaquille O'Neal,2000,2130
Alonzo Mourning,2000,760
Juwan Howard,2000,94
Hakeem Olajuwon,2000,230
Karl Malone,2000,1420
David Robinson,2000,21000
Dikembe Mutombo,2000,317
Patrick Ewing,2000,1500
Scottie Pippen,2000,520
Rasheed Wallace,2000,50
Gary Payton,2000,1230
Tim Hardaway,2000,310
Chris Webber,2000,0
Shawn Kemp,2000,680
Damon Stoudamire,2000,99
Arvydas Sabonis,2000,122
Larry Johnson,2000,13300
John Stockton,2000,2400
Antonio McDyess,2000,135
Reggie Miller,2000,270
Antoine Walker,2000,2150
Stephon Marbury,2000,326
Kobe Bryant,2000,2900
Shareef Abdur-Rahim,2000,108
Ray Allen,2000,16200
Vin Baker,2000,1100
Allen Iverson,2000,1670
Anfernee Hardaway,2000,450
Latrell Sprewell,2000,265
Bryant Reeves,2000,950
Mitch Richmond,2000,580
Rod Strickland,2000,1280
Jalen Rose,2000,460
Grant Hill,2000,24000
Tracy McGrady,2000,610
Tim Duncan,2000,3900
Vlade Divac,2000,120
Tom Gugliotta,2000,234
Nick Van Exel,2000,155
Keith Van Horn,2000,2300
Allan Houston,2000,2500
Eddie Jones,2000,7300
Brian Grant,2000,12300
Tim Thomas,2000,34000
Michael Finley,2000,1590
Shawn Bradley,2000,1700
Terrell Brandon,2000,590
Glenn Robinson,2000,14500
Steve Smith,2000,32000
Elden Campbell,2000,570
Danny Manning,2000,990
Derrick Coleman,2000,810
Avery Johnson,2000,2700
Theo Ratliff,2000,270
Kerry Kittles,2000,22
Jason Kidd,2000,1180
Glen Rice,2000,2400
Kenny Anderson,2000,9500
Matt Geiger,2000,890
Tyrone Hill,2000,1230
Kendall Gill,2000,960
Clifford Robinson,2000,1100
Christian Laettner,2000,159
Horace Grant,2000,2100
Jamal Mashburn,2000,109
Chris Dudley,2000,3200
Dale Davis,2000,4000
Bryant Stith,2000,52
Alan Henderson,2000,7800
Charles Oakley,2000,1600
Marcus Camby,2000,183
Luc Longley,2000,70
Jermaine O'Neal,2000,20
Donyell Marshall,2000,3
Erick Dampier,2000,43
Wesley Person,2000,6200
Chris Gatling,2000,230
Anthony Mason,2000,5400
Ron Mercer,2000,1800
Steve Nash,2000,3100
Isaac Austin,2000,2500
Antonio Davis,2000,8700
Jim McIlvaine,2000,50
Derrick McKey,2000,62
Kelvin Cato,2000,121
Jerry Stackhouse,2000,370
Austin Croshere,2000,55
Sean Elliott,2000,4500
Greg Ostertag,2000,109
Charlie Ward,2000,3600
Lorenzen Wright,2000,130
Loy Vaught,2000,49
Chris Mills,2000,14000
Mookie Blaylock,2000,66
Robert Horry,2000,290
Hersey Hawkins,2000,148
Chris Childs,2000,940
Chris Mullin,2000,300
Bobby Phills,2000,98
Bryon Russell,2000,870
Tariq Abdul-Wahad,2000,43
Bo Outlaw,2000,420
Bob Sura,2000,240
Jason Caffey,2000,108
Robert Pack,2000,10400
Brent Barry,2000,2500
Vitaly Potapenko,2000,51
Brevin Knight,2000,40
Howard Eisley,2000,82
Walt Williams,2000,14000
Scott Williams,2000,27000
Dan Majerle,2000,62
Brad Miller,2000,8200
Ben Wallace,2000,5500
Duane Causwell,2000,61
Sam Cassell,2000,680
Danny Fortson,2000,68
Corliss Williamson,2000,129
Cedric Ceballos,2000,113
Jahidi White,2000,20
Cuttino Mobley,2000,78
Rashard Lewis,2000,103
Scot Pollard,2000,280
Eric Williams,2000,22700
Voshon Lenard,2000,31
Nick Anderson,2000,5900
Dana Barros,2000,400
Michael Olowokandi,2000,56
Doug West,2000,8800
Kurt Thomas,2000,8200
Elton Brand,2000,3000
Adonal Foyle,2000,29
Mark Jackson,2000,30000
Michael Stewart,2000,17000
Derek Strong,2000,15600
Travis Best,2000,4900
Rex Chapman,2000,1210
Greg Anthony,2000,13100
Rick Fox,2000,3700
Adam Keefe,2000,870
Lamond Murray,2000,830
Derek Fisher,2000,1900
Eric Snow,2000,5100
Mike Bibby,2000,260
Jud Buechler,2000,18
Steve Francis,2000,11000
Tony Battie,2000,52
Travis Knight,2000,1520
Don MacLean,2000,1900
Doug Christie,2000,2150
Darrell Armstrong,2000,850
Tracy Murray,2000,6400
Mark Bryant,2000,2200
Chucky Atkins,2000,990
Tyrone Nesby,2000,35
Raef LaFrentz,2000,62
Samaki Walker,2000,27
Baron Davis,2000,3600
David Wesley,2000,8900
Brent Price,2000,53000
Dean Garrett,2000,2000
Jerome Williams,2000,3940000
Kevin Willis,2000,3700
Mikki Moore,2000,257
Antonio Daniels,2000,3400
Popeye Jones,2000,280
Anthony Peeler,2000,150
Jon Barry,2000,4400
Cedric Henderson,2000,570
Ervin Johnson,2000,1460
Lawrence Funderburke,2000,23
Antawn Jamison,2000,97
Walter McCarty,2000,740
Lindsey Hunter,2000,1180
Lamar Odom,2000,410
Vernon Maxwell,2000,1700
Malik Rose,2000,-200
Erick Strickland,2000,162
Vince Carter,2000,6300
Matt Maloney,2000,890
Gary Trent,2000,1900
Terry Mills,2000,3600
Mark Strickland,2000,3600
Jonathan Bender,2000,1070
Sam Mitchell,2000,10500
Chris Whitney,2000,2700
Jim Jackson,2000,-3500
Dale Ellis,2000,2400
Randy Brown,2000,7900
Aaron Williams,2000,-2100
Bimbo Coles,2000,39
Joe Smith,2000,20000
Maurice Taylor,2000,-1000
Sam Perkins,2000,2100
Brian Shaw,2000,4700
Othella Harrington,2000,38
A.C. Green,2000,3645000
Chauncey Billups,2000,71
Tony Delk,2000,88
Will Perdue,2000,1310
Bobby Jackson,2000,4100
Derek Anderson,2000,3700
John Starks,2000,630
Eric Montross,2000,64
Robert Traylor,2000,310
Chris Crawford,2000,3700
Jamie Feick,2000,35
Otis Thorpe,2000,240
J.R. Reid,2000,9500
Calbert Cheaney,2000,60
George McCloud,2000,460
John Wallace,2000,14600
Michael Curry,2000,4400
Terry Cummings,2000,1500
Carlos Rogers,2000,900
Shandon Anderson,2000,117
Eric Piatkowski,2000,50
Ron Harper,2000,6200
Grant Long,2000,5358000
George Lynch,2000,5800
Rodney Rogers,2000,1900
Detlef Schrempf,2000,85
Steve Kerr,2000,2400
Terry Porter,2000,3400
Olden Polynice,2000,37
Michael Smith,2000,52000
Wally Szczerbiak,2000,68
Lucious Harris,2000,12
Cory Alexander,2000,2300
Sean Rooks,2000,100
Clarence Weatherspoon,2000,62
Hubert Davis,2000,5400
Billy Owens,2000,1300
Eric Murdock,2000,510
Vinny Del Negro,2000,51
Matt Bullard,2000,460
Cherokee Parks,2000,740
Alvin Williams,2000,2900
Jason Williams,2000,13200
Johnny Newman,2000,1600
Dell Curry,2000,850
Richard Hamilton,2000,15000
Keith Closs,2000,174
Andrew DeClercq,2000,203
Larry Hughes,2000,3500
Aaron McKie,2000,173
Andre Miller,2000,6100
Greg Foster,2000,5000
Lorenzo Williams,2000,4400
Muggsy Bogues,2000,101
Darvin Ham,2000,43
Dirk Nowitzki,2000,280
Shawn Marion,2000,1390
Paul Pierce,2000,26200
Jason Terry,2000,3200
Bonzi Wells,2000,133
Trajan Langdon,2000,61
Jacque Vaughn,2000,810
Michael Doleac,2000,-18
Keon Clark,2000,94
Tony Massenburg,2000,185
Corey Maggette,2000,80
Corie Blount,2000,58
Gary Grant,2000,21900
Michael Dickerson,2000,1870
William Avery,2000,2600
Matt Harpring,2000,86
Anthony Johnson,2000,11000
Chris Carr,2000,4200
Eldridge Recasner,2000,-22
Joe Kleine,2000,2500
Chuck Person,2000,6200
Anthony Carter,2000,7300
LaPhonso Ellis,2000,39
Danny Ferry,2000,-1190
Dennis Scott,2000,13200
Bryce Drew,2000,1150
Metta World Peace,2000,-38
Elliot Perry,2000,1200
Tom Hammonds,2000,200
Jelani McCoy,2000,37
Cal Bowdler,2000,36
Sherman Douglas,2000,3200
Greg Buckner,2000,380
James Posey,2000,820
Bill Curley,2000,410
Pat Garrity,2000,300
Quincy Lewis,2000,400
Jerome Kersey,2000,-11
Felton Spencer,2000,540
David Wingate,2000,590
Pervis Ellison,2000,38
Dee Brown,2000,-12800
Monty Williams,2000,1020
Mario Elie,2000,1240
Tyrone Corbin,2000,164
Ruben Patterson,2000,700
Roshown McLeod,2000,30
Dion Glover,2000,300
Ricky Davis,2000,1700
Stacey Augmon,2000,-92
Jeff Foster,2000,7900
Brian Skinner,2000,2100
Kenny Thomas,2000,6100
Fred Hoiberg,2000,66
Tyronn Lue,2000,820
Devean George,2000,40
John Crotty,2000,340
Al Harrington,2000,4400
Tim James,2000,22000
Sam Jacobson,2000,2500
Vonteego Cummings,2000,33
Corey Benjamin,2000,4000
Vladimir Stepania,2000,25
Nazr Mohammed,2000,28
Isaiah Rider,2000,640
Todd Day,2000,14000
Jumaine Jones,2000,100
Bruce Bowen,2000,1900
Scott Padgett,2000,510
Damon Jones,2000,2300
Darrick Martin,2000,261
Todd Fuller,2000,4500
Don Reid,2000,18000
Antonio Harvey,2000,3700
Emanual Davis,2000,132
Eddie Robinson,2000,5500
John Amaechi,2000,93
Shammond Williams,2000,84
Doug Overton,2000,740
Rick Brunson,2000,-50
Kevin Ollie,2000,630
Moochie Norris,2000,22
Jeff McInnis,2000,232
Etdrick Bohannon,2000,65
Troy Hudson,2000,2100
Roy Rogers,2000,5300
Ryan Bowen,2000,1800
Laron Profit,2000,53
Adrian Griffin,2000,1470
Earl Boykins,2000,38
Andrae Patterson,2000,50
Gerard King,2000,5200
Michael Ruffin,2000,500
Evan Eschmeyer,2000,24
Rodney Buford,2000,300
Michael Hawkins,2000,-2000
Lari Ketner,2000,0
Rafer Alston,2000,33
Lazaro Borrell,2000,47
Jermaine Jackson,2000,640
Todd MacCulloch,2000,88
Derrick Dial,2000,320
Calvin Booth,2000,890
Obinna Ekezie,2000,20
Milt Palacio,2000,470
Chris Herren,2000,510
Anthony Miller,2000,14200
Kevin Garnett,2001,1420
Shaquille O'Neal,2001,2780
Alonzo Mourning,2001,320
Juwan Howard,2001,187
Scottie Pippen,2001,1320
Karl Malone,2001,2900
Rasheed Wallace,2001,520
Dikembe Mutombo,2001,590
Gary Payton,2001,1490
Allan Houston,2001,6300
Chris Webber,2001,4600
Shawn Kemp,2001,1030
Damon Stoudamire,2001,113
Reggie Miller,2001,4240
Antonio McDyess,2001,137
Bryant Reeves,2001,4470
Larry Johnson,2001,27800
Shareef Abdur-Rahim,2001,209
Antoine Walker,2001,3000
Zydrunas Ilgauskas,2001,23
Kobe Bryant,2001,3800
Ray Allen,2001,43000
Latrell Sprewell,2001,330
Vin Baker,2001,2400
Allen Iverson,2001,2810
Anfernee Hardaway,2001,500
Stephon Marbury,2001,239
Mitch Richmond,2001,2690
Antonio Davis,2001,25400
Keith Van Horn,2001,2400
Jalen Rose,2001,510
Grant Hill,2001,66000
Tracy McGrady,2001,730
Tim Duncan,2001,26000
Michael Finley,2001,3900
Vlade Divac,2001,263
Nick Van Exel,2001,218
Tom Gugliotta,2001,210
Eddie Jones,2001,19600
Brian Grant,2001,29900
Tim Thomas,2001,146000
Theo Ratliff,2001,570
David Robinson,2001,40000
Terrell Brandon,2001,1310
Steve Smith,2001,110000
Glenn Robinson,2001,-11800
Glen Rice,2001,5200
Derrick Coleman,2001,1530
Jason Kidd,2001,2230
Kenny Anderson,2001,21700
Matt Geiger,2001,1410
Elden Campbell,2001,880
Clifford Robinson,2001,15100
Marcus Camby,2001,355
Chris Dudley,2001,8000
Dale Davis,2001,16100
John Stockton,2001,8200
Jamal Mashburn,2001,117
Greg Ostertag,2001,150
Ron Mercer,2001,5500
Tyrone Hill,2001,4170
Charles Oakley,2001,2200
Donyell Marshall,2001,180
Alan Henderson,2001,4200
Maurice Taylor,2001,27900
Derek Anderson,2001,8000
Jermaine O'Neal,2001,630
Luc Longley,2001,30
Austin Croshere,2001,51
Wesley Person,2001,26000
Erick Dampier,2001,70
Kelvin Cato,2001,164
Jim McIlvaine,2001,288
Derrick McKey,2001,93
Bo Outlaw,2001,1080
Jerry Stackhouse,2001,420
Steve Nash,2001,8100
Isaac Austin,2001,7300
Lorenzen Wright,2001,490
Shandon Anderson,2001,381
Nick Anderson,2001,13800
Chris Mills,2001,-300
Mookie Blaylock,2001,266
Alvin Williams,2001,7800
Robert Horry,2001,620
Loy Vaught,2001,73
Bob Sura,2001,460
Doug Christie,2001,140
Chris Childs,2001,3460
Eddie Robinson,2001,1900
Bryon Russell,2001,470
Charlie Ward,2001,11600
Tariq Abdul-Wahad,2001,50
Hakeem Olajuwon,2001,170
Walt Williams,2001,39000
Jerome Williams,2001,1190000
Jason Caffey,2001,244
Howard Eisley,2001,117
Vitaly Potapenko,2001,51
Rod Strickland,2001,2160
Ben Wallace,2001,14400
Brent Barry,2001,4600
Michael Olowokandi,2001,59
Scott Williams,2001,57000
Danny Fortson,2001,131
Clarence Weatherspoon,2001,133
Calvin Booth,2001,2650
Todd MacCulloch,2001,106
Avery Johnson,2001,8900
Anthony Mason,2001,14700
Joe Smith,2001,76000
Ruben Patterson,2001,1350
Nazr Mohammed,2001,113
Shawn Bradley,2001,3900
Brevin Knight,2001,82
Christian Laettner,2001,182
Eric Williams,2001,29000
Cuttino Mobley,2001,69
Kurt Thomas,2001,23700
Rashard Lewis,2001,143
Jahidi White,2001,140
Brad Miller,2001,16100
Adonal Foyle,2001,51
Sam Cassell,2001,1300
Scot Pollard,2001,760
Voshon Lenard,2001,30
Mike Bibby,2001,430
Darrell Armstrong,2001,2820
