Player,Salary,Adjusted
Stephen Curry,"$34,682,550","$36,500,815"
LeBron James,"$33,285,709","$35,030,744"
Paul Millsap,"$30,769,231","$32,382,337"
Gordon Hayward,"$29,727,900","$31,286,413"
Blake Griffin,"$29,512,900","$31,060,141"
Kyle Lowry,"$28,903,704","$30,419,008"
Mike Conley,"$28,530,608","$30,026,352"
James Harden,"$28,299,399","$29,783,022"
Russell Westbrook,"$28,299,399","$29,783,022"
DeMar DeRozan,"$27,739,975","$29,194,269"
Al Horford,"$27,734,405","$29,188,407"
Carmelo Anthony,"$26,243,760","$27,619,614"
Damian Lillard,"$26,153,057","$27,524,156"
Jrue Holiday,"$25,686,667","$27,033,315"
Chris Bosh,"$25,289,390","$26,615,210"
Kevin Durant,"$25,000,000","$26,310,648"
Otto Porter,"$24,773,250","$26,072,011"
Chris Paul,"$24,268,959","$25,541,282"
CJ McCollum,"$23,962,573","$25,218,833"
Andre Drummond,"$23,775,506","$25,021,959"
Hassan Whiteside,"$23,775,506","$25,021,959"
Anthony Davis,"$23,775,506","$25,021,959"
Bradley Beal,"$23,775,506","$25,021,959"
Dwight Howard,"$23,500,000","$24,732,009"
Harrison Barnes,"$23,112,004","$24,323,672"
Chandler Parsons,"$23,112,004","$24,323,672"
JJ Redick,"$23,000,000","$24,205,796"
Kevin Love,"$22,642,350","$23,829,396"
DeAndre Jordan,"$22,642,350","$23,829,396"
Brook Lopez,"$22,642,350","$23,829,396"
Marc Gasol,"$22,642,350","$23,829,396"
Giannis Antetokounmpo,"$22,471,911","$23,650,022"
Steven Adams,"$22,471,911","$23,650,022"
Nicolas Batum,"$22,434,783","$23,610,947"
LaMarcus Aldridge,"$21,461,010","$22,586,123"
Greg Monroe,"$21,384,175","$22,505,260"
Rudy Gobert,"$21,224,719","$22,337,445"
Victor Oladipo,"$21,000,000","$22,100,945"
Danilo Gallinari,"$20,559,599","$21,637,455"
Serge Ibaka,"$20,061,729","$21,113,484"
George Hill,"$20,000,000","$21,048,519"
Ryan Anderson,"$19,578,455","$20,604,874"
Paul George,"$19,300,000","$20,311,820"
Jeff Teague,"$19,000,000","$19,996,093"
Kyrie Irving,"$18,868,626","$19,857,831"
Kawhi Leonard,"$18,868,625","$19,857,830"
Jimmy Butler,"$18,696,918","$19,677,121"
Allen Crabbe,"$18,500,000","$19,469,880"
DeMarcus Cousins,"$18,063,850","$19,010,864"
John Wall,"$18,063,850","$19,010,864"
Enes Kanter,"$17,884,176","$18,821,771"
Wesley Matthews,"$17,884,175","$18,821,769"
Dwyane Wade,"$17,878,652","$18,815,956"
Klay Thompson,"$17,826,150","$18,760,702"
Joakim Noah,"$17,765,000","$18,696,347"
Kentavious Caldwell-Pope,"$17,745,894","$18,676,239"
Luol Deng,"$17,190,000","$18,091,202"
Evan Turner,"$17,131,148","$18,029,264"
Goran Dragic,"$17,000,450","$17,891,714"
Bismack Biyombo,"$17,000,000","$17,891,241"
Evan Fournier,"$17,000,000","$17,891,241"
Kent Bazemore,"$16,910,112","$17,796,640"
Robert Covington,"$16,698,103","$17,573,517"
Tim Hardaway Jr,"$16,500,000","$17,365,028"
Tristan Thompson,"$16,400,000","$17,259,785"
Draymond Green,"$16,400,000","$17,259,785"
Reggie Jackson,"$16,000,000","$16,838,815"
Tobias Harris,"$16,000,000","$16,838,815"
Pau Gasol,"$16,000,000","$16,838,815"
Ian Mahinmi,"$16,000,000","$16,838,815"
Dennis Schroeder,"$15,500,000","$16,312,602"
Jonas Valanciunas,"$15,460,675","$16,271,215"
Tony Parker,"$15,453,126","$16,263,270"
Timofey Mozgov,"$15,280,000","$16,081,068"
Jamal Crawford,"$15,270,762","$16,071,345"
Andre Iguodala,"$14,814,815","$15,591,495"
DeMarre Carroll,"$14,800,000","$15,575,904"
Eric Bledsoe,"$14,500,000","$15,260,176"
Gorgui Dieng,"$14,112,360","$14,852,213"
Khris Middleton,"$14,100,000","$14,839,205"
Ricky Rubio,"$14,100,000","$14,839,205"
Mason Plumlee,"$14,041,096","$14,777,213"
Taj Gibson,"$14,000,000","$14,733,963"
Robin Lopez,"$13,788,500","$14,511,375"
JR Smith,"$13,760,000","$14,481,381"
James Johnson,"$13,734,000","$14,454,018"
Joe Ingles,"$13,636,364","$14,351,263"
Brandon Knight,"$13,618,750","$14,332,725"
Marvin Williams,"$13,168,750","$13,859,134"
Michael Kidd-Gilchrist,"$13,000,000","$13,681,537"
Tyson Chandler,"$13,000,000","$13,681,537"
Eric Gordon,"$12,943,020","$13,621,570"
Kenneth Faried,"$12,921,348","$13,598,762"
Thaddeus Young,"$12,921,348","$13,598,762"
Marcin Gortat,"$12,782,609","$13,452,749"
Cody Zeller,"$12,584,270","$13,244,012"
Nikola Mirotic,"$12,500,000","$13,155,324"
Miles Plumlee,"$12,400,000","$13,050,081"
Zach Randolph,"$12,307,692","$12,952,934"
Nikola Vucevic,"$12,250,000","$12,892,217"
Solomon Hill,"$12,236,535","$12,878,047"
Dion Waiters,"$12,100,000","$12,734,354"
Wilson Chandler,"$12,016,854","$12,646,849"
Kelly Olynyk,"$12,007,169","$12,636,656"
Jeremy Lin,"$12,000,000","$12,629,111"
Kemba Walker,"$12,000,000","$12,629,111"
Derrick Favors,"$12,000,000","$12,629,111"
Austin Rivers,"$11,825,000","$12,444,936"
Courtney Lee,"$11,747,890","$12,363,784"
Nikola Pekovic,"$11,600,000","$12,208,141"
Jordan Clarkson,"$11,562,500","$12,168,675"
John Henson,"$11,422,536","$12,021,373"
Amir Johnson,"$11,000,000","$11,576,685"
Alec Burks,"$10,845,506","$11,414,092"
Patrick Mills,"$10,714,286","$11,275,992"
Moe Harkless,"$10,662,922","$11,221,935"
Omer Asik,"$10,595,505","$11,150,984"
Bojan Bogdanovic,"$10,500,000","$11,050,472"
Mirza Teletovic,"$10,500,000","$11,050,472"
Terrence Ross,"$10,500,000","$11,050,472"
Jon Leuer,"$10,497,319","$11,047,650"
Iman Shumpert,"$10,337,079","$10,879,010"
Joe Johnson,"$10,254,904","$10,792,526"
Darren Collison,"$10,000,000","$10,524,259"
Jared Dudley,"$10,000,000","$10,524,259"
Danny Green,"$10,000,000","$10,524,259"
Meyers Leonard,"$9,904,495","$10,423,747"
Tony Snell,"$9,821,429","$10,336,326"
Al Jefferson,"$9,769,821","$10,282,013"
Matthew Dellavedova,"$9,607,500","$10,111,182"
Trevor Booker,"$9,571,137","$10,072,912"
Bogdan Bogdanovic,"$9,470,614","$9,967,119"
Andre Roberson,"$9,259,260","$9,744,685"
Dwight Powell,"$9,003,125","$9,475,122"
Jerryd Bayless,"$9,000,000","$9,471,833"
Avery Bradley,"$8,808,989","$9,270,808"
JaMychal Green,"$8,533,333","$8,980,701"
E'Twaun Moore,"$8,445,024","$8,887,762"
Rudy Gay,"$8,406,000","$8,846,692"
Kosta Koufos,"$8,393,000","$8,833,011"
Corey Brewer,"$8,105,615","$8,530,559"
Garrett Temple,"$8,000,000","$8,419,407"
Vince Carter,"$8,000,000","$8,419,407"
Markieff Morris,"$8,000,000","$8,419,407"
CJ Miles,"$7,936,509","$8,352,588"
Cristiano Felicio,"$7,843,500","$8,254,702"
Shaun Livingston,"$7,692,308","$8,095,584"
Cory Joseph,"$7,630,000","$8,030,010"
PJ Tucker,"$7,590,035","$7,987,949"
Andrew Wiggins,"$7,574,322","$7,971,413"
Darrell Arthur,"$7,464,912","$7,856,267"
Channing Frye,"$7,420,912","$7,809,960"
Trevor Ariza,"$7,400,000","$7,787,952"
Al-Farouq Aminu,"$7,319,035","$7,702,742"
Cole Aldrich,"$7,300,000","$7,682,709"
DJ Augustin,"$7,250,000","$7,630,088"
Marco Belinelli,"$7,082,277","$7,453,571"
Markelle Fultz,"$7,026,240","$7,394,597"
Jeremy Lamb,"$7,000,000","$7,366,981"
Kyle Korver,"$7,000,000","$7,366,981"
Louis Williams,"$7,000,000","$7,366,981"
Jameer Nelson,"$6,998,920","$7,365,844"
Dewayne Dedmon,"$6,900,000","$7,261,739"
Jae Crowder,"$6,796,117","$7,152,409"
Jabari Parker,"$6,782,392","$7,137,965"
Langston Galloway,"$6,666,667","$7,016,173"
Lance Thomas,"$6,655,325","$7,004,236"
Ersan Ilyasova,"$6,514,288","$6,855,805"
Matt Barnes,"$6,400,625","$6,736,183"
Ed Davis,"$6,352,531","$6,685,568"
Rajon Rondo,"$6,300,000","$6,630,282"
Jonathon Simmons,"$6,300,000","$6,630,283"
Lonzo Ball,"$6,286,560","$6,616,138"
