Player,Salary,Adjusted
Kobe Bryant,"$25,244,493","$28,831,724"
Vince Carter,"$21,300,000","$24,326,720"
Kevin Garnett,"$21,247,044","$24,266,239"
Tim Duncan,"$21,164,619","$24,172,102"
Rashard Lewis,"$21,136,631","$24,140,137"
Gilbert Arenas,"$19,269,307","$22,007,467"
Dirk Nowitzki,"$19,092,873","$21,805,962"
Pau Gasol,"$18,714,150","$21,373,422"
Carmelo Anthony,"$18,518,574","$21,150,055"
Amare Stoudemire,"$18,217,705","$20,806,433"
Dwight Howard,"$18,091,770","$20,662,602"
Joe Johnson,"$18,038,573","$20,601,846"
Richard Hamilton,"$17,500,000","$19,986,741"
Elton Brand,"$17,059,727","$19,483,906"
Deron Williams,"$16,359,805","$18,684,526"
Chris Paul,"$16,359,805","$18,684,526"
Brandon Roy,"$16,032,144","$18,310,304"
LeBron James,"$16,022,500","$18,299,290"
Chris Bosh,"$16,022,500","$18,299,290"
Dwyane Wade,"$15,691,000","$17,920,684"
Kevin Durant,"$15,506,632","$17,710,117"
Paul Pierce,"$15,333,334","$17,512,194"
Baron Davis,"$15,252,181","$17,419,509"
Zach Randolph,"$15,200,000","$17,359,913"
Antawn Jamison,"$15,076,715","$17,219,109"
Rudy Gay,"$15,032,144","$17,168,205"
Andrew Bynum,"$14,900,000","$17,017,283"
Chauncey Billups,"$14,200,000","$16,217,813"
Chris Kaman,"$14,030,000","$16,023,657"
Al Jefferson,"$14,000,000","$15,989,394"
Andre Iguodala,"$13,531,750","$15,454,605"
Carlos Boozer,"$13,500,000","$15,418,344"
Tyson Chandler,"$13,107,837","$14,970,455"
Nenê,"$13,000,000","$14,847,294"
Manu Ginobili,"$12,981,038","$14,825,637"
Marc Gasol,"$12,922,194","$14,758,432"
Emeka Okafor,"$12,541,812","$14,323,998"
Tony Parker,"$12,500,000","$14,276,244"
Josh Smith,"$12,400,000","$14,162,034"
LaMarcus Aldridge,"$12,372,000","$14,130,055"
Luol Deng,"$12,325,000","$14,076,377"
Danny Granger,"$12,015,904","$13,723,358"
Al Horford,"$12,000,000","$13,705,194"
Joakim Noah,"$12,000,000","$13,705,194"
Andrew Bogut,"$12,000,000","$13,705,194"
Steve Nash,"$11,689,062","$13,350,072"
David Lee,"$11,610,000","$13,259,776"
Ben Gordon,"$11,600,000","$13,248,355"
Kevin Martin,"$11,519,840","$13,156,804"
Marcus Camby,"$11,227,250","$12,822,637"
Jason Terry,"$11,158,000","$12,743,547"
Hidayet Turkoglu,"$11,015,850","$12,581,197"
Monta Ellis,"$11,000,000","$12,563,095"
Mehmet Okur,"$10,890,000","$12,437,464"
Corey Maggette,"$10,262,069","$11,720,304"
Jason Kidd,"$10,121,000","$11,559,189"
DeAndre Jordan,"$10,079,404","$11,511,683"
Rajon Rondo,"$10,045,455","$11,472,909"
Ray Allen,"$10,000,000","$11,420,995"
David West,"$10,000,000","$11,420,995"
Jose Calderon,"$9,780,992","$11,170,866"
